epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.45466,1.44519,7.40724,1.72082,0.54376,0.15402,0.19891,0.18543,0.36613,5.09274,0.85759,1.818e-05,1.818e-05,1.818e-05
2,11.8431,1.41182,6.48976,1.47969,0.54278,0.15402,0.19855,0.18421,0.37171,5.22052,0.85726,4.5225e-05,4.5225e-05,4.5225e-05
3,14.9026,1.50104,9.12535,1.58619,0.53869,0.16055,0.25301,0.23908,0.37303,4.926,0.86369,7.20001e-05,7.20001e-05,7.20001e-05
4,17.6124,1.34022,3.03927,1.46003,0.64286,0.74558,0.76294,0.69298,0.51793,30.9077,0.8837,9.85051e-05,9.85051e-05,9.85051e-05
5,19.8337,1.32671,2.40459,1.50699,0.7737,0.78148,0.81809,0.61044,0.95001,29.1398,0.97775,0.00012474,0.00012474,0.00012474
6,21.6225,1.50545,2.00075,1.45046,0.77272,0.79029,0.85731,0.58729,1.13952,4.48527,1.02724,0.000150705,0.000150705,0.000150705
7,23.39,1.11951,1.81519,1.29719,0.75478,0.90918,0.90399,0.63953,1.0807,2.05384,1.01702,0.000176401,0.000176401,0.000176401
8,25.2722,1.15107,1.83205,1.2766,0.88206,0.87789,0.94964,0.68403,1.0033,1.69241,0.99535,0.000201826,0.000201826,0.000201826
9,27.3892,1.23372,1.72783,1.47632,0.78334,0.97399,0.95063,0.69891,0.9324,1.63658,0.99088,0.000226981,0.000226981,0.000226981
10,29.3738,1.22876,1.42825,1.26516,0.88856,0.90881,0.96872,0.72157,0.95988,1.64547,1.00243,0.000251866,0.000251866,0.000251866
11,31.5052,1.32025,1.41558,1.31877,0.88818,0.91603,0.94186,0.68928,1.10129,2.29446,1.06878,0.000276481,0.000276481,0.000276481
12,33.2307,1.16207,1.40148,1.22273,0.85402,0.90921,0.93146,0.6688,1.21814,2.5828,1.12141,0.000300827,0.000300827,0.000300827
13,34.9667,1.24912,1.43229,1.33439,0.94994,0.89786,0.9698,0.61317,1.28741,2.55647,1.18769,0.000324902,0.000324902,0.000324902
